transaction_id,customer_id,transaction_date,merchant,category,amount,state,is_fraud
T000001,C0071,2024-05-20,Comcast,Utilities,104.78,NY,0
T000002,C0061,2024-06-12,Walmart,Shopping,448.12,MD,0
T000003,C0039,2024-12-21,Steam,Entertainment,13.4,CA,0
T000004,C0107,2024-10-04,ExxonMobil,Gas,47.96,MD,0
T000005,C0108,2024-10-21,Shell,Gas,1379.4,FL,1
T000006,C0193,2024-10-02,Chevron,Gas,64.85,IL,0
T000007,C0155,2024-04-22,Steam,Entertainment,20.01,CA,0
T000008,C0100,2024-03-25,Urgent Care,Healthcare,253.75,IL,0
T000009,C0160,2024-10-30,Kroger,Groceries,2106.87,CA,1
T000010,C0035,2024-01-26,Comcast,Utilities,74.23,TX,0
T000011,C0117,2024-07-13,LabCorp,Healthcare,90.69,MD,0
T000012,C0108,2024-08-28,Amazon,Shopping,24.4,FL,0
T000013,C0090,2024-11-29,Netflix,Entertainment,7.21,DC,0
T000014,C0064,2024-11-14,Netflix,Entertainment,13.38,IL,0
T000015,C0172,2024-08-26,Starbucks,Dining,86.94,NY,0
T000016,C0043,2024-06-08,Starbucks,Dining,1279.89,VA,1
T000017,C0174,2024-04-11,Chevron,Gas,24.56,DC,0
T000018,C0161,2024-12-22,Netflix,Entertainment,47.49,FL,0
T000019,C0154,2024-06-26,Chipotle,Dining,68.6,NY,0
T000020,C0018,2024-08-03,CVS Pharmacy,Healthcare,248.48,CA,0
T000021,C0093,2024-08-10,Comcast,Utilities,59.94,VA,0
T000022,C0167,2024-08-26,Best Buy,Shopping,226.25,MD,0
T000023,C0069,2024-02-14,Walgreens,Healthcare,90.89,TX,0
T000024,C0193,2024-06-21,DC Water,Utilities,34.88,IL,0
T000025,C0047,2024-06-30,Comcast,Utilities,165.63,VA,0
T000026,C0153,2024-09-21,Amazon,Shopping,474.81,NY,0
T000027,C0185,2024-10-11,Chevron,Gas,65.49,VA,0
T000028,C0166,2024-01-09,DC Water,Utilities,45.82,NY,0
T000029,C0178,2024-12-05,Spotify,Entertainment,36.99,TX,0
T000030,C0136,2024-10-08,Urgent Care,Healthcare,105.93,FL,0
T000031,C0070,2024-04-28,Walmart,Shopping,73.52,IL,0
T000032,C0031,2024-04-20,Marriott,Travel,603.95,NY,0
T000033,C0151,2024-04-09,Amazon,Shopping,158.68,IL,0
T000034,C0078,2024-05-20,Trader Joes,Groceries,28.19,IL,0
T000035,C0075,2024-02-22,Airbnb,Travel,704.54,VA,0
T000036,C0121,2024-06-23,DC Water,Utilities,61.34,DC,0
T000037,C0123,2024-07-24,Chipotle,Dining,64.09,VA,0
T000038,C0176,2024-03-17,Trader Joes,Groceries,166.01,VA,0
T000039,C0022,2024-10-12,Netflix,Entertainment,47.04,NY,0
T000040,C0159,2024-08-18,Steam,Entertainment,54.97,CA,0
T000041,C0151,2024-10-18,ExxonMobil,Gas,57.26,IL,0
T000042,C0190,2024-11-16,Starbucks,Dining,33.21,NY,0
T000043,C0041,2024-10-09,AMC Theaters,Entertainment,1626.26,TX,1
T000044,C0153,2024-01-17,Dominion Energy,Utilities,69.35,NY,0
T000045,C0180,2024-12-17,Verizon,Utilities,69.68,IL,0
T000046,C0161,2024-02-28,Steam,Entertainment,34.95,FL,0
T000047,C0069,2024-01-31,Delta Airlines,Travel,174.44,TX,0
T000048,C0192,2024-03-04,Best Buy,Shopping,242.32,FL,0
T000049,C0104,2024-08-12,Best Buy,Shopping,54.01,IL,0
T000050,C0111,2024-01-14,LabCorp,Healthcare,36.48,FL,0
T000051,C0148,2024-10-22,Safeway,Groceries,27.24,FL,0
T000052,C0121,2024-04-02,Dominion Energy,Utilities,199.48,DC,0
T000053,C0126,2024-06-27,Local Bistro,Dining,54.92,MD,0
T000054,C0027,2024-07-29,Uber,Travel,570.26,MD,0
T000055,C0103,2024-02-15,Kroger,Groceries,76.61,VA,0
T000056,C0198,2024-12-02,Shell,Gas,72.16,DC,0
T000057,C0014,2024-11-14,Spotify,Entertainment,46.6,TX,0
T000058,C0195,2024-05-16,Trader Joes,Groceries,118.86,DC,0
T000059,C0113,2024-01-15,Verizon,Utilities,195.43,TX,0
T000060,C0062,2024-10-09,Uber,Travel,60.26,IL,0
T000061,C0058,2024-03-01,Local Bistro,Dining,81.25,IL,0
T000062,C0184,2024-07-31,Walmart,Shopping,419.84,NY,0
T000063,C0063,2024-07-15,Comcast,Utilities,62.4,DC,0
T000064,C0192,2024-05-21,Delta Airlines,Travel,629.51,FL,0
T000065,C0088,2024-05-24,Amazon,Shopping,367.13,NY,0
T000066,C0149,2024-08-16,Comcast,Utilities,121.56,NY,0
T000067,C0142,2024-06-13,Chevron,Gas,72.18,VA,0
T000068,C0062,2024-07-29,BP,Gas,22.62,IL,0
T000069,C0181,2024-12-05,Chevron,Gas,67.54,MD,0
T000070,C0039,2024-03-05,Verizon,Utilities,115.39,CA,0
T000071,C0026,2024-09-26,Verizon,Utilities,860.39,CA,1
T000072,C0168,2024-08-28,Delta Airlines,Travel,636.14,TX,0
T000073,C0160,2024-06-17,Shell,Gas,71.14,CA,0
T000074,C0098,2024-10-04,Urgent Care,Healthcare,20.41,CA,0
T000075,C0162,2024-02-16,Target,Shopping,225.48,TX,0
T000076,C0163,2024-03-26,Local Bistro,Dining,86.34,MD,0
T000077,C0012,2024-05-30,CVS Pharmacy,Healthcare,113.95,NY,0
T000078,C0063,2024-03-28,BP,Gas,30.5,DC,0
T000079,C0098,2024-10-25,Steam,Entertainment,12.87,CA,0
T000080,C0066,2024-12-07,Dominion Energy,Utilities,31.6,FL,0
T000081,C0074,2024-08-14,Delta Airlines,Travel,758.93,VA,0
T000082,C0077,2024-08-21,ExxonMobil,Gas,70.72,NY,0
T000083,C0099,2024-05-01,Verizon,Utilities,94.83,FL,0
T000084,C0076,2024-12-03,Amazon,Shopping,2662.67,VA,1
T000085,C0200,2024-05-26,Kroger,Groceries,159.63,NY,0
T000086,C0091,2024-11-13,AMC Theaters,Entertainment,18.78,NY,0
T000087,C0197,2024-11-17,Delta Airlines,Travel,534.76,FL,0
T000088,C0113,2024-03-08,Safeway,Groceries,36.22,TX,0
T000089,C0192,2024-04-12,BP,Gas,27.93,FL,0
T000090,C0094,2024-05-11,Target,Shopping,458.31,NY,0
T000091,C0076,2024-08-27,CVS Pharmacy,Healthcare,289.24,VA,0
T000092,C0058,2024-02-16,ExxonMobil,Gas,1841.43,IL,1
T000093,C0117,2024-10-26,LabCorp,Healthcare,120.5,MD,0
T000094,C0096,2024-08-29,Starbucks,Dining,12.75,FL,0
T000095,C0144,2024-11-27,Walgreens,Healthcare,28.33,TX,0
T000096,C0180,2024-02-29,Best Buy,Shopping,82.79,IL,0
T000097,C0078,2024-02-19,Verizon,Utilities,69.92,IL,0
T000098,C0100,2024-12-09,Dominion Energy,Utilities,191.39,IL,0
T000099,C0139,2024-07-31,BP,Gas,59.3,TX,0
T000100,C0158,2024-01-17,ExxonMobil,Gas,61.42,TX,0
T000101,C0114,2024-02-20,Spotify,Entertainment,58.95,FL,0
T000102,C0166,2024-07-22,CVS Pharmacy,Healthcare,90.01,NY,0
T000103,C0117,2024-11-24,Starbucks,Dining,80.34,MD,0
T000104,C0013,2024-03-05,Walgreens,Healthcare,238.22,MD,0
T000105,C0196,2024-04-29,AMC Theaters,Entertainment,23.07,TX,0
T000106,C0153,2024-03-15,Safeway,Groceries,197.75,NY,0
T000107,C0045,2024-03-08,Chipotle,Dining,11.63,MD,0
T000108,C0061,2024-03-30,CVS Pharmacy,Healthcare,86.96,MD,0
T000109,C0108,2024-08-31,Chipotle,Dining,59.31,FL,0
T000110,C0152,2024-09-14,Local Bistro,Dining,34.37,IL,0
T000111,C0187,2024-11-25,Best Buy,Shopping,482.55,MD,0
T000112,C0123,2024-12-17,Chevron,Gas,26.48,VA,0
T000113,C0114,2024-06-13,Chipotle,Dining,76.91,FL,0
T000114,C0071,2024-11-01,Urgent Care,Healthcare,163.86,NY,0
T000115,C0155,2024-12-25,Shell,Gas,26.86,CA,0
T000116,C0197,2024-08-19,Steam,Entertainment,53.85,FL,0
T000117,C0117,2024-02-18,Chevron,Gas,38.75,MD,0
T000118,C0066,2024-12-17,Walgreens,Healthcare,277.67,FL,0
T000119,C0022,2024-02-19,Local Bistro,Dining,91.9,NY,0
T000120,C0034,2024-12-09,Safeway,Groceries,42.0,MD,0
T000121,C0171,2024-05-27,Shell,Gas,56.02,CA,0
T000122,C0148,2024-12-02,AMC Theaters,Entertainment,31.52,FL,0
T000123,C0090,2024-05-22,CVS Pharmacy,Healthcare,176.49,DC,0
T000124,C0144,2024-01-15,Safeway,Groceries,52.47,TX,0
T000125,C0080,2024-01-04,LabCorp,Healthcare,62.61,IL,0
T000126,C0169,2024-03-13,Shell,Gas,64.46,CA,0
T000127,C0024,2024-08-02,Steam,Entertainment,29.95,TX,0
T000128,C0080,2024-01-27,CVS Pharmacy,Healthcare,55.12,IL,0
T000129,C0013,2024-08-14,McDonalds,Dining,82.81,MD,0
T000130,C0114,2024-04-20,ExxonMobil,Gas,65.3,FL,0
T000131,C0111,2024-12-13,McDonalds,Dining,84.63,FL,0
T000132,C0171,2024-04-22,Amazon,Shopping,206.7,CA,0
T000133,C0002,2024-04-18,Spotify,Entertainment,47.2,CA,0
T000134,C0075,2024-01-04,CVS Pharmacy,Healthcare,154.24,VA,0
T000135,C0034,2024-09-13,BP,Gas,53.52,MD,0
T000136,C0091,2024-01-22,Local Bistro,Dining,57.98,NY,0
T000137,C0020,2024-10-20,Urgent Care,Healthcare,127.28,MD,0
T000138,C0075,2024-01-11,Local Bistro,Dining,116.28,VA,0
T000139,C0159,2024-02-15,Dominion Energy,Utilities,104.24,CA,0
T000140,C0112,2024-07-21,Shell,Gas,72.23,TX,0
T000141,C0057,2024-02-09,Walgreens,Healthcare,158.04,VA,0
T000142,C0131,2024-06-28,Spotify,Entertainment,45.01,CA,0
T000143,C0038,2024-03-15,Netflix,Entertainment,19.08,DC,0
T000144,C0040,2024-11-17,Starbucks,Dining,64.35,FL,0
T000145,C0195,2024-11-17,Dominion Energy,Utilities,83.74,DC,0
T000146,C0121,2024-05-20,Dominion Energy,Utilities,130.54,DC,0
T000147,C0019,2024-08-19,Best Buy,Shopping,33.24,TX,0
T000148,C0074,2024-11-10,Chipotle,Dining,75.35,VA,0
T000149,C0149,2024-10-19,Kroger,Groceries,137.33,NY,0
T000150,C0122,2024-08-18,Delta Airlines,Travel,127.63,CA,0
T000151,C0088,2024-01-21,Starbucks,Dining,37.25,NY,0
T000152,C0113,2024-07-09,Uber,Travel,738.45,TX,0
T000153,C0199,2024-11-19,CVS Pharmacy,Healthcare,197.72,IL,0
T000154,C0025,2024-05-09,ExxonMobil,Gas,63.42,TX,0
T000155,C0155,2024-02-11,Uber,Travel,487.05,CA,0
T000156,C0090,2024-03-07,Best Buy,Shopping,303.59,DC,0
T000157,C0080,2024-03-06,ExxonMobil,Gas,60.21,IL,0
T000158,C0190,2024-09-17,Local Bistro,Dining,49.8,NY,0
T000159,C0047,2024-09-05,Spotify,Entertainment,15.56,VA,0
T000160,C0040,2024-02-21,McDonalds,Dining,65.85,FL,0
T000161,C0190,2024-11-12,Safeway,Groceries,43.59,NY,0
T000162,C0042,2024-08-12,Marriott,Travel,82.77,IL,0
T000163,C0185,2024-11-08,Steam,Entertainment,20.67,VA,0
T000164,C0115,2024-06-07,AMC Theaters,Entertainment,58.11,CA,0
T000165,C0050,2024-08-24,Urgent Care,Healthcare,233.14,MD,0
T000166,C0129,2024-04-12,BP,Gas,68.08,NY,0
T000167,C0065,2024-07-09,Kroger,Groceries,119.82,CA,0
