trip_id,employee_id,program_office,travel_date,travel_purpose,expense_type,amount,mileage,total_mileage_cost
TR00001,EMP0130,LOG,2023-11-12,Asset Movement,Ground Transportation,86.92,,
TR00002,EMP0136,OPS,2024-09-04,Asset Management,Hotel/Lodging,234.96,,
TR00003,EMP0043,OPS,2024-02-22,Asset Movement,Air Transportation,1155.83,,
TR00004,EMP0105,FIN,2023-12-26,Asset Management,Mileage,380.76,568.3,380.76
TR00005,EMP0039,OPS,2024-07-07,Asset Movement,Ground Transportation,68.08,,
TR00006,EMP0114,TRANS,2024-02-02,Asset Movement,Ground Transportation,96.79,,
TR00007,EMP0129,FIN,2023-10-04,Asset Movement,Ground Transportation,119.85,,
TR00008,EMP0086,TRANS,2024-05-08,Asset Management,Hotel/Lodging,111.6,,
TR00009,EMP0132,OPS,2023-12-27,Asset Management,Hotel/Lodging,107.42,,
TR00010,EMP0076,FIN,2024-03-22,Asset Movement,Mileage,382.7,571.2,382.7
TR00011,EMP0119,PMO,2023-12-16,Asset Management,Air Transportation,938.37,,
TR00012,EMP0079,FIN,2024-07-21,Asset Movement,Hotel/Lodging,223.15,,
TR00013,EMP0037,OPS,2024-08-30,Asset Management,Hotel/Lodging,252.27,,
TR00014,EMP0066,PMO,2024-01-18,Asset Management,Ground Transportation,104.86,,
TR00015,EMP0095,FIN,2024-02-16,Asset Movement,Hotel/Lodging,335.62,,
TR00016,EMP0079,FIN,2024-03-10,Asset Management,Hotel/Lodging,92.11,,
TR00017,EMP0146,PMO,2024-09-10,Asset Movement,Mileage,279.39,417.0,279.39
TR00018,EMP0104,PMO,2024-09-17,Asset Movement,Hotel/Lodging,167.97,,
TR00019,EMP0042,FIN,2024-01-05,Asset Management,Hotel/Lodging,143.3,,
TR00020,EMP0093,FIN,2024-08-20,Asset Management,Ground Transportation,153.94,,
TR00021,EMP0019,FIN,2024-03-30,Asset Management,Hotel/Lodging,277.33,,
TR00022,EMP0033,PMO,2024-08-26,Asset Movement,Hotel/Lodging,111.93,,
TR00023,EMP0061,TRANS,2024-01-25,Asset Movement,Hotel/Lodging,267.88,,
TR00024,EMP0097,FIN,2024-09-19,Asset Movement,Hotel/Lodging,296.35,,
TR00025,EMP0084,FIN,2023-12-28,Asset Management,Hotel/Lodging,217.59,,
TR00026,EMP0122,FIN,2024-08-29,Asset Movement,Mileage,211.65,315.9,211.65
TR00027,EMP0048,OPS,2024-02-13,Asset Management,Hotel/Lodging,212.23,,
TR00028,EMP0051,TRANS,2023-12-15,Asset Movement,Ground Transportation,20.94,,
TR00029,EMP0032,OPS,2023-10-28,Asset Movement,Air Transportation,269.3,,
TR00030,EMP0076,FIN,2024-08-27,Asset Movement,Air Transportation,565.99,,
TR00031,EMP0068,OPS,2024-09-28,Asset Management,Mileage,233.76,348.9,233.76
TR00032,EMP0137,ADMIN,2024-02-18,Asset Management,Mileage,136.48,203.7,136.48
TR00033,EMP0090,OPS,2024-06-13,Asset Management,Hotel/Lodging,117.08,,
TR00034,EMP0096,FIN,2024-05-16,Asset Movement,Air Transportation,515.85,,
TR00035,EMP0127,PMO,2023-10-05,Asset Management,Air Transportation,792.94,,
TR00036,EMP0030,ADMIN,2024-04-13,Asset Management,Air Transportation,297.48,,
TR00037,EMP0143,TRANS,2024-04-18,Asset Management,Mileage,395.37,590.1,395.37
TR00038,EMP0119,PMO,2024-07-07,Asset Management,Ground Transportation,148.45,,
TR00039,EMP0013,LOG,2024-07-30,Asset Management,Air Transportation,288.33,,
TR00040,EMP0025,LOG,2024-01-21,Asset Movement,Ground Transportation,65.98,,
TR00041,EMP0077,LOG,2024-07-09,Asset Movement,Air Transportation,196.98,,
TR00042,EMP0023,FIN,2024-08-20,Asset Management,Hotel/Lodging,209.41,,
TR00043,EMP0084,FIN,2023-10-30,Asset Movement,Air Transportation,1067.97,,
TR00044,EMP0024,ADMIN,2024-08-07,Asset Movement,Hotel/Lodging,331.5,,
TR00045,EMP0040,ADMIN,2024-09-13,Asset Movement,Mileage,33.77,50.4,33.77
TR00046,EMP0040,ADMIN,2024-05-02,Asset Movement,Ground Transportation,146.07,,
TR00047,EMP0028,TRANS,2024-06-07,Asset Management,Hotel/Lodging,223.32,,
TR00048,EMP0106,FIN,2024-07-15,Asset Management,Air Transportation,691.65,,
TR00049,EMP0104,PMO,2024-03-18,Asset Management,Ground Transportation,152.13,,
TR00050,EMP0082,FIN,2024-01-17,Asset Movement,Hotel/Lodging,250.91,,
TR00051,EMP0053,ADMIN,2024-05-13,Asset Management,Hotel/Lodging,202.73,,
TR00052,EMP0112,OPS,2023-12-02,Asset Management,Mileage,118.32,176.6,118.32
TR00053,EMP0067,PMO,2024-09-29,Asset Movement,Mileage,163.48,244.0,163.48
TR00054,EMP0110,FIN,2024-06-30,Asset Management,Hotel/Lodging,235.06,,
TR00055,EMP0004,ADMIN,2024-09-23,Asset Movement,Mileage,256.01,382.1,256.01
TR00056,EMP0045,OPS,2024-08-02,Asset Movement,Air Transportation,423.47,,
TR00057,EMP0069,OPS,2023-11-26,Asset Movement,Hotel/Lodging,122.48,,
TR00058,EMP0036,LOG,2024-05-15,Asset Management,Hotel/Lodging,328.49,,
TR00059,EMP0002,OPS,2024-04-13,Asset Management,Mileage,169.04,252.3,169.04
TR00060,EMP0103,PMO,2024-01-07,Asset Movement,Mileage,99.56,148.6,99.56
TR00061,EMP0005,FIN,2023-12-16,Asset Movement,Hotel/Lodging,213.25,,
TR00062,EMP0109,LOG,2024-09-28,Asset Movement,Air Transportation,923.41,,
TR00063,EMP0115,OPS,2023-12-28,Asset Management,Hotel/Lodging,116.46,,
TR00064,EMP0128,PMO,2023-11-22,Asset Movement,Ground Transportation,57.83,,
TR00065,EMP0149,TRANS,2024-05-18,Asset Movement,Air Transportation,446.14,,
